false_id,group,control_id,design_distance,max_standardized_gap
zh_ja_021,true_friend,true_000535,2.7637584980780283,1.2757642238590559
zh_ja_021,true_friend,true_003013,2.767210864456626,1.2757642238590559
zh_ja_021,true_friend,true_001199,2.8207679903212153,1.3950076740501125
zh_ja_021,true_friend,true_003910,2.854851647987246,1.301279508336237
zh_ja_021,true_friend,true_000481,2.9787429529627976,1.2496943746698927
zh_ja_021,true_friend,true_003746,3.0231073026184063,1.3140371505748278
zh_ja_021,true_friend,true_002740,3.041534400362055,1.301279508336237
zh_ja_021,true_friend,true_000951,3.115561860146759,1.36506771952919
zh_ja_021,true_friend,true_001615,3.1217705960221283,1.2885218660976467
zh_ja_021,true_friend,true_003866,3.1300782174843897,1.3905830040063711
zh_ja_021,true_friend,true_004592,3.151559620712213,1.3078196944219809
zh_ja_021,true_friend,true_005362,3.2548129083844,1.5112583135542885
zh_ja_021,true_friend,true_004518,3.257978107592149,1.2757642238590559
zh_ja_021,true_friend,true_003919,3.373074451211064,1.5112583135542885
zh_ja_021,true_friend,true_004517,3.4382310623327363,1.3523100772905992
zh_ja_021,true_friend,true_001836,3.439726416705714,1.4416135729607336
zh_ja_021,true_friend,true_004117,3.4723516731564734,1.525789643492311
zh_ja_021,true_friend,true_005228,3.487021494014606,1.5693836333063766
zh_ja_021,true_friend,true_004058,3.5677076967096264,1.4821956536782446
zh_ja_021,true_friend,true_002192,3.5896404941945375,1.4160982884835518
zh_ja_021,true_friend,true_004375,3.5944195663136793,1.5403209734303327
zh_ja_021,true_friend,true_006046,3.615369095370624,1.4967269836162675
zh_ja_021,true_friend,true_002189,3.632610512213309,1.428855930722142
zh_ja_021,true_friend,true_001920,3.685920690516343,1.4160982884835518
zh_ja_021,true_friend,true_005011,3.6934504153379946,1.36506771952919
zh_ja_021,true_friend,true_006503,3.727104146063277,1.5984462931824215
zh_ja_021,true_friend,true_002969,3.731913782929694,1.428855930722142
zh_ja_021,true_friend,true_001457,3.784511379297947,1.5309170686308666
zh_ja_021,true_friend,true_001175,3.873107766909573,1.4798864996765044
zh_ja_021,true_friend,true_005973,3.916554503303848,1.5309170686308666
zh_ja_021,true_friend,true_002079,3.9557980001156174,1.461726073355252
zh_ja_021,true_friend,true_002306,3.9639879642900233,1.5693836333063773
zh_ja_021,true_friend,true_006241,4.021304575929216,1.6420402829964864
zh_ja_021,true_friend,true_004493,4.060719587301348,1.4531329938022004
zh_ja_021,true_friend,true_000844,4.077005874852224,1.4926441419150958
zh_ja_022,true_friend,true_002525,1.1132206822353015,1.0550927363200362
zh_ja_022,true_friend,true_006448,1.1179392263278514,1.0550927363200362
zh_ja_022,true_friend,true_004399,1.1401084061714106,1.0550927363200362
zh_ja_022,true_friend,true_004669,1.1559237495812307,1.0550927363200362
zh_ja_022,true_friend,true_001339,1.1767700832490808,1.0550927363200362
zh_ja_022,true_friend,true_003901,1.2262361547154677,1.0550927363200362
zh_ja_022,true_friend,true_005954,1.25412766902814,1.0550927363200362
zh_ja_022,true_friend,true_001869,1.2869028917275096,1.0550927363200362
zh_ja_022,true_friend,true_002282,1.2921371246495812,1.0550927363200362
zh_ja_022,true_friend,true_006444,1.2993111770390624,1.0550927363200362
zh_ja_022,true_friend,true_004207,1.3080167846067845,1.0550927363200362
zh_ja_022,true_friend,true_004258,1.3499665039810806,1.0550927363200362
zh_ja_022,true_friend,true_002249,1.4111476170366086,1.0550927363200362
zh_ja_022,true_friend,true_005426,1.4395364389749332,1.0550927363200362
zh_ja_022,true_friend,true_006003,1.4551166940430609,1.0550927363200362
zh_ja_022,true_friend,true_000520,1.5210123111555351,1.0550927363200362
zh_ja_022,true_friend,true_003717,1.5794651988121333,1.0550927363200362
zh_ja_022,true_friend,true_004280,1.593846689360998,1.0550927363200362
zh_ja_022,true_friend,true_000083,1.60442012900336,1.0550927363200362
zh_ja_022,true_friend,true_001430,1.6921832203078102,1.0550927363200362
zh_ja_022,true_friend,true_000654,1.7345001194051886,1.0550927363200362
zh_ja_022,true_friend,true_002810,1.8072262968817072,1.0550927363200362
zh_ja_022,true_friend,true_002271,1.8153285911713146,1.0550927363200362
zh_ja_022,true_friend,true_001302,1.837795384744469,1.0550927363200362
zh_ja_022,true_friend,true_002331,1.8484502672127852,1.0550927363200362
zh_ja_022,true_friend,true_004156,1.8593147977346163,1.0550927363200362
zh_ja_022,true_friend,true_002286,1.8801824926211699,1.0550927363200362
zh_ja_022,true_friend,true_000383,1.9358382242036236,1.0550927363200362
zh_ja_022,true_friend,true_002582,1.9403141138496491,1.0550927363200362
zh_ja_022,true_friend,true_005941,1.986203311418295,1.0550927363200362
zh_ja_022,true_friend,true_006211,2.0096315576006907,1.0550927363200362
zh_ja_022,true_friend,true_003482,2.030670084172833,1.0550927363200362
