pair,model,dose,lag,normalization,comparison,n_items,estimate,ci_low,ci_high,negative_rate
id_tl,qwen3_8b,1,8,sum,wrong_exact_minus_masked,33,-0.6126397739757191,-1.2320240714333275,-0.013716348012288857,0.6060606060606061
id_tl,qwen3_8b,1,8,sum,wrong_masked_minus_language,33,-0.09402168158328894,-0.7483059066714662,0.5533257845676306,0.6363636363636364
id_tl,qwen3_8b,1,8,sum,correct_exact_minus_language,33,3.4873621969512016,1.761836421850956,5.315827064803153,0.18181818181818182
id_tl,qwen3_8b,4,0,mean,wrong_exact_minus_language,33,-0.2687025648174864,-0.7401647820617213,0.19080551393104273,0.6363636363636364
id_tl,qwen3_8b,4,0,mean,wrong_exact_minus_surface,33,-0.28294165929158527,-0.7620319294207023,0.2040852409420591,0.5757575757575758
id_tl,qwen3_8b,4,0,mean,wrong_exact_minus_masked,33,-0.12788794257424094,-0.4307855819210862,0.16406242269458185,0.5151515151515151
id_tl,qwen3_8b,4,0,mean,wrong_masked_minus_language,33,-0.14081462224324545,-0.5974053711602182,0.31566664919708715,0.5454545454545454
id_tl,qwen3_8b,4,0,mean,correct_exact_minus_language,33,1.5982251311793472,0.9437435453588312,2.291924328153783,0.24242424242424243
id_tl,qwen3_8b,4,0,sum,wrong_exact_minus_language,33,-0.43260152412183356,-1.1828461704832134,0.3664267395481918,0.6363636363636364
id_tl,qwen3_8b,4,0,sum,wrong_exact_minus_surface,33,-0.5865622433749113,-1.3083347465052748,0.15730417135989946,0.6060606060606061
id_tl,qwen3_8b,4,0,sum,wrong_exact_minus_masked,33,-0.16295906991669626,-0.5961345535336118,0.2965835000529427,0.5454545454545454
id_tl,qwen3_8b,4,0,sum,wrong_masked_minus_language,33,-0.2696424542051373,-1.0169194582736854,0.468427631349274,0.5757575757575758
id_tl,qwen3_8b,4,0,sum,correct_exact_minus_language,33,2.481134645866625,1.064894995544896,3.9104053598461728,0.2727272727272727
id_tl,qwen3_8b,4,2,mean,wrong_exact_minus_language,33,-0.2538155642422763,-0.7191972494125366,0.21531390312946191,0.5151515151515151
id_tl,qwen3_8b,4,2,mean,wrong_exact_minus_surface,33,-0.2190316373651678,-0.8558933687932563,0.4214890093514407,0.5454545454545454
id_tl,qwen3_8b,4,2,mean,wrong_exact_minus_masked,33,-0.22557463790431168,-0.5329475785746719,0.06394858035174245,0.6363636363636364
id_tl,qwen3_8b,4,2,mean,wrong_masked_minus_language,33,-0.028240926337964607,-0.38653443293137985,0.3214951724717109,0.5151515151515151
id_tl,qwen3_8b,4,2,mean,correct_exact_minus_language,33,2.265531048630223,1.3022841822017321,3.219721341855598,0.18181818181818182
id_tl,qwen3_8b,4,2,sum,wrong_exact_minus_language,33,-0.3810115294022994,-1.1140397411404235,0.3437451088067246,0.5454545454545454
id_tl,qwen3_8b,4,2,sum,wrong_exact_minus_surface,33,-0.7736045086022579,-1.6231678305250226,0.09555586612585806,0.5757575757575758
id_tl,qwen3_8b,4,2,sum,wrong_exact_minus_masked,33,-0.46549372239546344,-0.975405282685251,-0.01616882194172264,0.6363636363636364
id_tl,qwen3_8b,4,2,sum,wrong_masked_minus_language,33,0.08448219299316406,-0.5126744335347956,0.6162146850065751,0.45454545454545453
id_tl,qwen3_8b,4,2,sum,correct_exact_minus_language,33,3.1244484583536782,1.2834624088171755,4.963404538414693,0.24242424242424243
id_tl,qwen3_8b,4,8,mean,wrong_exact_minus_language,33,-0.326485604950876,-0.7742009282112121,0.08969807516444808,0.5454545454545454
id_tl,qwen3_8b,4,8,mean,wrong_exact_minus_surface,33,-0.16296599128029562,-0.6433644486196113,0.3300887548562249,0.5757575757575758
id_tl,qwen3_8b,4,8,mean,wrong_exact_minus_masked,33,-0.36119971130833484,-0.6527292490005493,-0.0792455662380566,0.6666666666666666
id_tl,qwen3_8b,4,8,mean,wrong_masked_minus_language,33,0.03471410635745886,-0.33819944714054917,0.41339728723872665,0.5151515151515151
id_tl,qwen3_8b,4,8,mean,correct_exact_minus_language,33,2.1617701848347983,1.3038862159757902,3.0365719264203843,0.21212121212121213
id_tl,qwen3_8b,4,8,sum,wrong_exact_minus_language,33,-0.6135964249119614,-1.3050014098485312,0.07662457119334772,0.5757575757575758
id_tl,qwen3_8b,4,8,sum,wrong_exact_minus_surface,33,-0.7717377922751687,-1.4823288209510572,-0.05326916954734144,0.6666666666666666
id_tl,qwen3_8b,4,8,sum,wrong_exact_minus_masked,33,-0.7585985877297141,-1.2144428686662152,-0.31457086331916617,0.7575757575757576
id_tl,qwen3_8b,4,8,sum,wrong_masked_minus_language,33,0.14500216281775272,-0.4787175518093687,0.7327164086428555,0.42424242424242425
id_tl,qwen3_8b,4,8,sum,correct_exact_minus_language,33,3.18212214383212,1.5402244546196677,5.023188872770829,0.24242424242424243
id_tl,qwen3_8b,8,0,mean,wrong_exact_minus_language,33,-0.2996338930996982,-0.7305724642493507,0.13356018210902357,0.6666666666666666
id_tl,qwen3_8b,8,0,mean,wrong_exact_minus_surface,33,-0.37160214510830963,-0.9254079977671306,0.15679848988850875,0.5757575757575758
id_tl,qwen3_8b,8,0,mean,wrong_exact_minus_masked,33,-0.43429340015758167,-0.8047464406851567,-0.09761555953459321,0.5757575757575758
id_tl,qwen3_8b,8,0,mean,wrong_masked_minus_language,33,0.13465950705788352,-0.3080288399349559,0.5860502152731925,0.48484848484848486
id_tl,qwen3_8b,8,0,mean,correct_exact_minus_language,33,1.687936696139249,0.9284715930620829,2.429359392325083,0.2727272727272727
id_tl,qwen3_8b,8,0,sum,wrong_exact_minus_language,33,-0.3973982839873343,-1.1151328693736684,0.31097596341913375,0.696969696969697
id_tl,qwen3_8b,8,0,sum,wrong_exact_minus_surface,33,-0.8347166234796698,-1.6576109568277997,-0.014117920037471999,0.6666666666666666
id_tl,qwen3_8b,8,0,sum,wrong_exact_minus_masked,33,-0.4675217830773556,-1.037946638916478,0.06195681311867453,0.6060606060606061
id_tl,qwen3_8b,8,0,sum,wrong_masked_minus_language,33,0.0701234990900213,-0.7453674735444964,0.8458990328239657,0.5151515151515151
id_tl,qwen3_8b,8,0,sum,correct_exact_minus_language,33,2.822137081261837,1.361666050824252,4.404942470608335,0.21212121212121213
id_tl,qwen3_8b,8,2,mean,wrong_exact_minus_language,33,-0.39400482177734375,-0.8601424690448877,0.06310661995049605,0.6060606060606061
id_tl,qwen3_8b,8,2,mean,wrong_exact_minus_surface,33,-0.23486195188580136,-0.8409659577138496,0.3751916101484577,0.5151515151515151
id_tl,qwen3_8b,8,2,mean,wrong_exact_minus_masked,33,-0.30599664919304126,-0.5989891532695655,0.014086780764839832,0.6363636363636364
id_tl,qwen3_8b,8,2,mean,wrong_masked_minus_language,33,-0.08800817258430249,-0.5495909423539133,0.3436442440206354,0.5151515151515151
